address,balance,contract,createdAt,id,dao,network
0xbe5cf9a0408d22cdd61f8990b33dd00a5272f65b,30000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561039862,0x0003a06b89cb93c8f3c630c0c26f64b13e1c844ee2243b85e37dac086587ccbf,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
0xbf4e9e59b1ac3a1d0df596ce68841ee7c5008388,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561035755,0x0018946eee358a93d9b8a681344621950128ae20357c44315bdd549b1b23d6cc,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
0xddf2bb10b39bbc89746c8b81e7d08922fbbcc9aa,50000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561034537,0x001d02d26aa50572b3c67e6c60a1ca7b60e1168aa6be5ca06be5c2a934bee493,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
0x705dc139f523c0056d0a7e3b80799ddaf0b8b640,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561035535,0x0030fa6c205655268a0ccd7587c22c2b0df971bea86476da470d2955429af5cb,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
0x7da0a796d0a15dff8712f11d9b6366c87a0bf16e,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561033979,0x0035d39a8ec24f999fa8c7c04b270f10c222add625baf09a764baa783bbc6eed,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
0x0a503597bc447ff10e77c1150406f4c4717a1c9e,10000000000000000000,0xf99d41f99949f15e9e75ba54de609cf9e9d3fccc,1583521712,0x003a6222bd9d91abfbbed0ddc0b8549ac770e853d00e1a60724698987b2cd0f3,0x9b98571e57d320052d5301013d68a8535a87a169,mainnet
0xd259f95031df1d1ce614e62a21e7b51e5a666779,68812318703026269596,0x7a927a93f221976aae26d5d077477307170f0b7c,1561724552,0x0049d683cb0be3e00709f164ef4918b63b3c4aaf11c3b8f41436a5ee25d5f51a,0x519b70055af55a007110b4ff99b0ea33071c720a,mainnet
0x1b886fe5b9a7db6ff39543781e906c38cd3fef78,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561046951,0x004c37f163172f41a222d199d7649a09fee76b5c643df42ff963f93a075f684e,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
0xee30a8ee27f5fe862d5f83893561b2954b598c4f,241300000000000000000,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,1554713660,0x004cfa28da78942ad82cd6e3c9867175c5132cebd7b9ec3c501cc19f073eb0fa,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,mainnet
0xc156a80a7bd63d2c2ea4ab33905cc04000441cbd,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561036044,0x00592dee8ba070e8ec3410c7087176e7231d014d081d59dfee006f7150cfa48a,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
0x6e94999ff51fd463dddb6b17a5b433e34dd79b74,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561047724,0x005be6f02d2384317ea5156fd809b597b221c5c9e7956d70aee5efafe8b688e0,0x6bee9b81e434f7afce72a43a4016719315069539,mainnet
